No_Vuelo,origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
1356,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1357,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1358,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1359,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1360,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1361,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1362,GDL,DFW,20.5218,-103.311,32.8968,-97.038
1363,GDL,PHX,20.5218,-103.311,33.4343,-112.012
1364,MEX,LAX,19.4363,-99.0721,33.9425,-118.408
1365,MEX,LAX,19.4363,-99.0721,33.9425,-118.408
1366,MEX,LAX,19.4363,-99.0721,33.9425,-118.408
1367,MEX,LAX,19.4363,-99.0721,33.9425,-118.408
1368,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1369,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1370,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1371,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1372,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1373,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1374,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1375,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1376,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1377,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1378,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1379,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1380,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1381,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1382,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1383,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1384,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1385,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1386,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1387,MEX,CLT,19.4363,-99.0721,35.214,-80.9431
1388,CUN,CLT,21.0365,-86.8771,35.214,-80.9431
1389,CUN,CLT,21.0365,-86.8771,35.214,-80.9431
1390,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1391,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1392,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1393,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1394,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1395,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1396,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1397,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1398,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1399,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1400,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1401,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1402,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1403,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1404,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1405,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1406,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1407,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1408,MEX,YYZ,19.4363,-99.0721,43.6772,-79.6306
1409,GDL,IAH,20.5218,-103.311,29.9844,-95.3414
1410,MEX,YVR,19.4363,-99.0721,49.1939,-123.184
1411,MEX,YVR,19.4363,-99.0721,49.1939,-123.184
1412,MEX,YVR,19.4363,-99.0721,49.1939,-123.184
1413,MEX,YVR,19.4363,-99.0721,49.1939,-123.184
1414,MEX,YVR,19.4363,-99.0721,49.1939,-123.184
1415,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1416,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1417,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1418,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1419,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1420,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1421,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1422,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1423,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1424,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1425,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1426,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1427,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1428,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1429,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1430,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1431,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1432,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1433,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1434,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1435,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1436,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1437,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1438,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1439,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1440,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1441,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1442,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1443,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1444,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1445,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1446,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1447,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1448,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1449,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1450,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1451,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1452,MEX,CDG,19.4363,-99.0721,49.0128,2.55
